parallelism,time
1,3303.69628897013
2,1188.0999573601036
3,687.2515338717592
4,504.99657163031577
5,410.7087113698509
6,344.65970644397885
7,314.97417672232984
8,268.45981109195907
10,223.11586301710594
12,191.17975329313373
14,177.05493133072196
16,155.79367666732765
20,130.81635517461876
24,127.40884544066245
32,105.60083554818176
