parallelism,time
1,1406.700076596455
2,665.0663091670688
3,401.00352955048186
4,369.83697710805274
5,280.0829537139355
6,239.79178692829828
7,243.03934895894966
8,193.0444040901925
10,167.18751162587913
12,165.78000109626316
14,134.9247208199609
16,142.0345454261065
20,98.30308787177303
24,106.04221783804061
32,93.21363969898425
