parallelism,time
1,1132.2564102564093
2,607.0256410256407
3,369.5769230769228
4,387.0384615384613
5,283.1410256410255
6,211.28205128205116
7,193.66666666666657
8,168.87179487179475
10,132.5897435897435
12,131.37179487179475
14,110.73076923076914
16,94.94871794871786
20,86.30769230769221
24,72.80769230769224
32,60.01282051282055
